DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE,DEFERRED SALES CHARGE
09/08/2021,37247070900,THIRD PARTY (AAPL),2,AAPL,,,0.00,,,,
09/08/2021,37247070905,THIRD PARTY (TSM),28,TSM,,,0.00,,,,
09/08/2021,37247070910,THIRD PARTY,,,,,58.00,,,,
09/16/2021,37415156015,WIRE INCOMING,,,,,3636.00,,,,
09/16/2021,37420873325,Bought 1 QQQ @ 376.15,1,QQQ,376.15,0.00,-376.15,,,,
09/20/2021,37467410308,Bought 1 QQQ @ 367.26,1,QQQ,367.26,0.00,-367.26,,,,
09/20/2021,37472277903,Bought 1 QQQ @ 363.6,1,QQQ,363.60,0.00,-363.60,,,,
09/21/2021,37502260545,Bought 1 DIS @ 173.4,1,DIS,173.40,0.00,-173.40,,,,
09/23/2021,37557846318,Bought 1 QQQ @ 373.59,1,QQQ,373.59,0.00,-373.59,,,,
09/23/2021,37558037341,Bought 1 QQQ @ 373.2,1,QQQ,373.20,0.00,-373.20,,,,
09/23/2021,37558023377,Bought 1 QQQ @ 373.16,1,QQQ,373.16,0.00,-373.16,,,,
09/23/2021,37559709678,Bought 1 FB @ 346.2,1,FB,346.20,0.00,-346.20,,,,
09/24/2021,37587323802,Bought 1 QQQ @ 370.1,1,QQQ,370.10,0.00,-370.10,,,,
09/28/2021,37646918858,Bought 1 QQQ @ 360.2,1,QQQ,360.20,0.00,-360.20,,,,
09/29/2021,37676777316,WIRE INCOMING,,,,,3550.00,,,,
09/29/2021,37680168805,Bought 1 QQQ @ 360.5,1,QQQ,360.50,0.00,-360.50,,,,
09/29/2021,37680170599,Bought 1 FB @ 340.1,1,FB,340.10,0.00,-340.10,,,,
09/29/2021,37681107490,Bought 1 QQQ @ 359,1,QQQ,359.00,0.00,-359.00,,,,
09/30/2021,37725799281,Bought 1 QQQ @ 358,1,QQQ,358.00,0.00,-358.00,,,,
09/30/2021,37733157456,Bought 1 DIS @ 169.1,1,DIS,169.10,0.00,-169.10,,,,
10/04/2021,37820106225,Bought 1 QQQ @ 351,1,QQQ,351.00,0.00,-351.00,,,,
10/05/2021,37850506466,Bought 1 QQQ @ 357.75,1,QQQ,357.75,0.00,-357.75,,,,
10/05/2021,37850522537,Bought 1 FB @ 331.5,1,FB,331.50,0.00,-331.50,,,,
10/14/2021,38029305407,QUALIFIED DIVIDEND (TSM),,TSM,,,13.75,,,,
10/14/2021,38029305409,FOREIGN TAX WITHHELD (TSM),,TSM,,,-2.89,,,,
10/29/2021,38318957099,ORDINARY DIVIDEND (QQQ),,QQQ,,,0.41,,,,
10/29/2021,38319484165,W-8 WITHHOLDING (QQQ),,QQQ,,,-0.12,,,,
11/11/2021,38657759168,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.44,,,,
11/11/2021,38666445825,W-8 WITHHOLDING (AAPL),,AAPL,,,-0.13,,,,
11/12/2021,38691769615,Bought 1 DIS @ 161,1,DIS,161.00,0.00,-161.00,,,,
11/12/2021,38691786901,Bought 1 DIS @ 161,1,DIS,161.00,0.00,-161.00,,,,
11/17/2021,38789327086,Bought 1 DIS @ 157.5,1,DIS,157.50,0.00,-157.50,,,,
12/01/2021,39076670673,Sold 1 TSM @ 122.9,1,TSM,122.90,0.00,122.90,,,,
12/31/2021,39770639459,ORDINARY DIVIDEND (QQQ),,QQQ,,,6.39,,,,
12/31/2021,39771210620,W-8 WITHHOLDING (QQQ),,QQQ,,,-1.92,,,,
12/31/2021,39819083919,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.01,,,,
***END OF FILE***
